16782,9,13,2268,5,5,5,555,01 - Champions
17419,10,12,4227,5,5,5,555,01 - Champions
14088,9,13,50492,5,5,5,555,01 - Champions
18241,9,17,2073,5,5,5,555,01 - Champions
15601,10,14,6777,5,5,5,555,01 - Champions
17306,10,19,8631,5,5,5,555,01 - Champions
13576,9,18,6717,5,5,5,555,01 - Champions
15838,10,19,33643,5,5,5,555,01 - Champions
15615,9,23,10400,5,5,5,555,01 - Champions
14667,10,25,9175,5,5,5,555,01 - Champions
14180,10,25,4749,5,5,5,555,01 - Champions
18118,10,26,5625,5,5,5,555,01 - Champions
16168,10,27,3788,5,5,5,555,01 - Champions
15755,9,6,2364,5,5,5,555,01 - Champions
14432,9,6,2249,5,5,5,555,01 - Champions
14390,9,9,4643,5,5,5,555,01 - Champions
17389,0,34,31834,5,5,5,555,01 - Champions
16558,0,20,8338,5,5,5,555,01 - Champions
13777,0,33,25977,5,5,5,555,01 - Champions
13113,0,24,12246,5,5,5,555,01 - Champions
17528,0,8,3629,5,5,5,555,01 - Champions
13102,0,24,6424,5,5,5,555,01 - Champions
13069,0,24,4431,5,5,5,555,01 - Champions
14422,0,6,4264,5,5,5,555,01 - Champions
14911,0,201,143711,5,5,5,555,01 - Champions
14415,0,13,5856,5,5,5,555,01 - Champions
17243,0,26,8540,5,5,5,555,01 - Champions
13571,12,12,2089,5,5,5,555,01 - Champions
17365,12,8,4767,5,5,5,555,01 - Champions
12662,0,11,3850,5,5,5,555,01 - Champions
17675,0,31,20374,5,5,5,555,01 - Champions
16401,0,12,4098,5,5,5,555,01 - Champions
12955,0,11,4757,5,5,5,555,01 - Champions
14606,0,93,12076,5,5,5,555,01 - Champions
17769,12,10,3957,5,5,5,555,01 - Champions
16705,0,20,14035,5,5,5,555,01 - Champions
16407,12,10,2080,5,5,5,555,01 - Champions
15796,0,8,2709,5,5,5,555,01 - Champions
18102,0,60,259657,5,5,5,555,01 - Champions
15694,0,14,6479,5,5,5,555,01 - Champions
14056,0,23,8153,5,5,5,555,01 - Champions
13098,0,28,28882,5,5,5,555,01 - Champions
14051,0,23,15610,5,5,5,555,01 - Champions
17491,0,10,3559,5,5,5,555,01 - Champions
13870,1,8,2771,5,5,5,555,01 - Champions
14032,1,11,2976,5,5,5,555,01 - Champions
18092,1,11,9068,5,5,5,555,01 - Champions
16523,1,21,9418,5,5,5,555,01 - Champions
13394,1,8,2520,5,5,5,555,01 - Champions
14291,1,11,3883,5,5,5,555,01 - Champions
12747,1,11,4196,5,5,5,555,01 - Champions
12621,1,20,13690,5,5,5,555,01 - Champions
14132,1,11,3586,5,5,5,555,01 - Champions
17315,1,38,6281,5,5,5,555,01 - Champions
16672,1,20,8135,5,5,5,555,01 - Champions
14646,1,73,280206,5,5,5,555,01 - Champions
12569,1,32,4125,5,5,5,555,01 - Champions
13767,1,37,17220,5,5,5,555,01 - Champions
13468,1,37,5705,5,5,5,555,01 - Champions
17841,1,124,40520,5,5,5,555,01 - Champions
13769,1,10,2797,5,5,5,555,01 - Champions
17735,1,19,13110,5,5,5,555,01 - Champions
16161,1,19,5534,5,5,5,555,01 - Champions
16210,1,18,21086,5,5,5,555,01 - Champions
14085,1,18,4421,5,5,5,555,01 - Champions
12437,1,18,4951,5,5,5,555,01 - Champions
12935,1,7,2161,5,5,5,555,01 - Champions
13536,0,7,3444,5,5,5,555,01 - Champions
17434,1,7,2374,5,5,5,555,01 - Champions
15187,1,16,4777,5,5,5,555,01 - Champions
17530,0,10,2367,5,5,5,555,01 - Champions
17449,1,7,2519,5,5,5,555,01 - Champions
14135,1,15,4690,5,5,5,555,01 - Champions
13408,1,62,28117,5,5,5,555,01 - Champions
14395,1,9,3480,5,5,5,555,01 - Champions
12783,1,6,2226,5,5,5,555,01 - Champions
14189,1,15,4654,5,5,5,555,01 - Champions
16525,1,26,13027,5,5,5,555,01 - Champions
13756,1,14,5190,5,5,5,555,01 - Champions
